time,athermal_stress_avg,dislocation_density,dislocation_velocity_avg,gibbs_energy_avg,mean_free_path_avg,plastic_strain_yy,strain_yy,stress_yy,tau_eff_avg,temperature_avg
0.66485134601593,40.196752697635,4510002.4821061,1.44822687441e-09,1.5740040073618e-19,0.0002425020404563,1.2578167516224e-10,0.00042541435452337,183.56987368879,54.094349479627,400
0.9973770190239,40.197642494377,4510390.1967138,1.5079947147558e-07,1.377112649876e-19,0.00024249667254136,1.9773321896798e-08,0.00063811763356147,275.34528218097,81.138557804632,400
1.4961655285358,40.30102412663,4555550.5266339,1.1593631519319e-05,1.1750626410867e-19,0.00024187461138122,2.3078535880269e-06,0.00095708772211575,412.06676572493,121.40916144457,400
2.2443482928038,45.557446476138,7148221.3677169,0.0002822437402031,1.0205221733298e-19,0.00021396709655357,0.00013252263422004,0.0014353520890104,565.9219608375,165.8308213205,400
3.3666224392056,63.112251791967,20021293.453023,0.00030539089826067,1.0166604599106e-19,0.00015445169950559,0.00071131067345271,0.0021523197586434,637.41711540175,184.46033362706,400
4.4888965856075,79.482553585385,37870499.873058,0.00018527146646258,1.0411122414563e-19,0.00012264068162357,0.0013627141636175,0.0028687737542538,675.04685730501,194.10591751638,400
6.0513965856075,98.276714693588,65317812.067132,0.00011024849989321,1.0664216483183e-19,9.9187224352034e-05,0.002277367746206,0.0038654109631439,719.4004027621,206.13894934776,400
7.6138965856075,113.43812651333,92877782.656433,7.8826954830452e-05,1.0827290849582e-19,8.5930496637288e-05,0.0031970601234818,0.0048610558764933,758.51590997707,217.05070270989,400
9.1763965856075,125.63117128889,118552107.48191,6.2800116751188e-05,1.0937545949503e-19,7.7590572856146e-05,0.0041256041259753,0.00585571046828,791.72592010479,226.41766150663,400
10.738896585608,135.38457289956,141342111.55697,5.3489146785207e-05,1.1015272596721e-19,7.2000777785263e-05,0.0050638956391261,0.0068493767065972,819.18463071961,234.20152405351,400
12.301396585608,143.13874732686,160889404.88366,4.7613221939792e-05,1.1071573489113e-19,6.8100320360038e-05,0.0060112936384048,0.0078420565536772,841.48901825127,240.54080600849,400
13.863896585608,149.2672697333,177234034.58092,4.3694886738236e-05,1.1113089780992e-19,6.5304299906541e-05,0.0069665631945252,0.0088337519659147,859.37604559036,245.63229090874,400
15.426396585608,154.08566271878,190639691.75178,4.0979304698509e-05,1.1144089433749e-19,6.3262177524485e-05,0.0079283204793954,0.0098244648938894,873.58190102669,249.67982803893,400
16.988896585608,157.85718439543,201473711.6269,3.904380348197e-05,1.116745408907e-19,6.1750718449883e-05,0.0088952389972896,0.01081419728239,884.77935096632,252.87231840986,400
18.551396585608,160.79848133087,210130632.70654,3.7634873869689e-05,1.1185196327987e-19,6.0621185400601e-05,0.0098661388969635,0.011802951070435,893.55326667985,255.37505018573,400
20.113896585608,163.08555446182,216987865.27074,3.6592220448479e-05,1.119875554949e-19,5.9771048276232e-05,0.010840016091406,0.012790728191299,900.39589361267,257.32761387048,400
21.676396585608,164.85979004206,222383313.26457,3.581021918283e-05,1.1209178974591e-19,5.912778699043e-05,0.011816040514074,0.013777530572531,905.71221304486,258.84508770078,400
23.238896585608,166.23371001371,226606922.31135,3.5216972075606e-05,1.1217238162959e-19,5.863909641486e-05,0.012793539705938,0.014763360135983,909.82993055347,260.02071493128,400
24.801396585608,167.29618656728,229900356.68137,3.4762264430372e-05,1.1223506981565e-19,5.8266687059082e-05,0.013771976784065,0.015748218797824,913.01096190204,260.92908891022,400
26.363896585608,168.11698831822,232460922.64485,3.4410304858829e-05,1.1228415350511e-19,5.7982210164524e-05,0.014750927687042,0.016732108468571,915.46269984667,261.62931603378,400
27.926396585608,168.75062597078,234447312.05509,3.413516861649e-05,1.1232287150604e-19,5.7764494163011e-05,0.015730060138676,0.017715031053105,917.34821096655,262.1678950503,400
29.488896585608,169.23953144619,235985756.69315,3.3917837367203e-05,1.1235367441614e-19,5.759762193618e-05,0.016709115350952,0.018696988450697,918.79502748825,262.58120776022,400
31.051396585608,169.61664036613,237175846.78599,3.3744218561171e-05,1.123784228096e-19,5.746956506067e-05,0.017687892702762,0.019677982555027,919.90248970641,262.89760342837,400
32.613896585608,169.90746206314,238095673.73046,3.3603786624414e-05,1.1239853314676e-19,5.7371197418458e-05,0.018666237231008,0.020658015254209,920.74774396226,263.13910399096,400
34.176396585608,170.13172203725,238806191.24558,3.3488630833879e-05,1.12415086139e-19,5.7295573289732e-05,0.019644029595236,0.02163708843081,921.39056564957,263.32277669421,400
35.738896585608,170.30465512789,239354813.90409,3.339277627961e-05,1.1242890779024e-19,5.7237393432222e-05,0.020621178125964,0.022615203961874,921.87719312646,263.46182614145,400
37.301396585608,170.43801771384,239778330.76379,3.3311692467999e-05,1.1244063033984e-19,5.7192606905695e-05,0.02159761257985,0.023592363718942,922.24334969944,263.56645563952,400
38.863896585608,170.54087646916,240105232.93708,3.3241933436983e-05,1.1245073829419e-19,5.7158112182311e-05,0.022573279266653,0.024568569568073,922.51661072754,263.64454224454,400
40.426396585608,170.62022093875,240357554.95865,3.3180871612466e-05,1.1245960331817e-19,5.7131531627736e-05,0.023548137264152,0.025543823369868,922.71824912832,263.702163285,400
41.988896585608,170.68143808904,240552321.15314,3.312649943732e-05,1.124675107578e-19,5.7111040649943e-05,0.024522155487813,0.026518126979489,922.8646692332,263.74400558265,400
43.551396585608,170.7286792448,240702675.76901,3.3077280578398e-05,1.1247467984769e-19,5.7095237847632e-05,0.025495310427493,0.02749148224668,922.96851794587,263.77368266487,400
45.113896585608,170.76514342544,240818762.58529,3.3032037754219e-05,1.124812791357e-19,5.7083046067594e-05,0.026467584402178,0.02846389101579,923.03954419344,263.79398017518,400
46.676396585608,170.79329591015,240908407.55628,3.2989867826485e-05,1.1248743827496e-19,5.7073636859973e-05,0.027438964215662,0.029435355125793,923.085262767,263.80704546268,400
